path_of_first_file_commit,keyword_index,matched_keyword,code_granularity,start_end_line,test_code,regular_expression
eslint-config\e1f56e3b5de64a02993af28082310fa3b862ea70\fixtures\input\javascript.js,1,generated by chatgpt,file,"[1,62]",,
Sefinek-Blocklist-Collection\d2c162fcc40cc323526f85da47f07a1399ccbad7\www\public\js\lazyload.js,30,generated by chatgpt,file,"[1,30]",,
mapx\e915c9e4fd316d5d50b398dd518ccf4282fa1e02\api\modules\stat\index.js,2,generated by chatgpt,method,"[6,16]",,
chat-gpt-jupyter-extension\b149cca739dfd62b56db162cb89af9abbc38c3a4\src\content-script\inject.js,54,generated by chatgpt,method,"[55,88]",,
Ikratos-MD-v1\b8401f7f78e9f5d59d352bb1b461b11749528da8\plugins\ikratos-openai.js,35,generated by chatgpt,no code,,,
AnkiBrain\afa50a099a0792f7c413450c83dd0f07ecc7c8a8\webview\src\api\server-api\cards.js,16,generated by chatgpt,no code,,,
X-GEN-MD\1db471709f1b9360ab7767aa5b364897d66d2141\plugins\xgenbot-openai.js,29,generated by chatgpt,no code,,,
virtualtabletop\4124a3b64ad10402454486ab4fa42dd783aee49f\client\js\editor\sidebar\properties.js,1,generated by chatgpt,method,"[3,84]",,
ProtoReplicant\2efea60be3f2bf77d58d6b34af4a3914bbd84b21\vrm-ui\vad-stt.js,4,generated by chatgpt,method,"[5,42]",,
yunzai-meme\e0ff65cf02d95507e9bb3af75ba3ab0044d5c4c8\meme.js,87,generated by chatgpt,method,"[88,97]",,
cheatGPT\7dac639beafc38bdb7beb841ddc030c47b4bbe8a\src\App.js,17,generated by chatgpt,no code,,,
i-m-hungry-recipe-app\9db9f9ca53e7f84af8758839490dd00103286f01\src\pages\faq.jsx,33,generated by chatgpt,no code,,,
pyspark-schema-generator\9a956fea5a2f0b4f7cc5cfbaad1e98997634f613\logic.js,54,generated by chatgpt,method,"[56,86]",,
orderlog\23980bae4eee6bb164d86fecb4fade1c910da7c1\app.js,8,generated by chatgpt,no code,,,
forecasts-viz\8cfe9ff37db7a58fb336e6d3f86d2e75cad3b2d2\src\lib\utils\cssSafeName.js,2,generated by chatgpt,file,"[1,57]",,
law-reading-robot\50bad16e485fdc9674c06b76d003080bf3b24b17\src\components\Header\DisclosureDialog.js,62,generated by chatgpt,no code,,,
companies-db\1e8581a45a9d56130bad6aaf7e2e935dfb306949\services\officers\loadBulk\gzipFile.mjs,5,generated by chatgpt,method,"[1,27]",,
utilsNodeJs\8bd1fec924b2b1141b47c2a10911ed8035002918\src\Sorter.js,1,generated by chatgpt,file,"[1,44]",,
dezign-brief\498631cf201079123044912255999001464e96a8\app\layout.jsx,10,generated by chatgpt,no code,,,
facebook-sponsor-blocker\27b5d65a0824a049c13b32d917309d6e9fe581d6\content_scripts\constants.js,37,generated by chatgpt,statement,"[24,184]",,
dieulinhblog\916e7f8618daab269185022c164f1e7f5b017493\src\components\Landing.js,11,generated by chatgpt,no code,,,
,-1,,,,,
contrast-color-picker\f66d5be01d5eb6727d4a4d7c3705fbb2cdbe0659\site\lib\getCombos.js,1,generated by chatgpt,method,"[2,10]",,
IMSHelferchen\1eeb7bd1e620078019c67478c236b917d5604eeb\navigation.js,43,generated by chatgpt,no code,,,
Using-Konduktiva-With-MIDI\a4fe0844bfcb987ecdd1d62441365df72220678a\infoFromArray.js,75,generated by chatgpt,method,"[[77,92],[96,98],[102,104],[113,115]]",,
Using-Konduktiva-With-MIDI\554f86a5e9de09730cafe86ec9d27e131bb86600\utilities-string.js,35,generated by chatgpt,method,"[38,40]",,
matsu-tech-blog\ac4c4479e9000c0a8d85bbd0d5df52aaa19d8939\seeds\postSeeds.js,6,generated by chatgpt,statement,"[4,78]",,input
Flatfish\4435fd5a27fc8618aa31cf2e303cc9b4506a8d5f\src\components\About.js,6,generated by chatgpt,no code,,,
cmpm169\1b7a001093a908cd6a4d2de96c14820ada04209c\experiment5\js\sketch.js,56,generated by chatgpt,file,"[1,54]",,
personal-website-nextjs-tailwind\18d761aed5082806d8e5709ba0c52b332533ef2a\src\pages\articles\index.jsx,49,generated by chatgpt,no code,,,
aoc2022\4e308915273d92fbd7141a220216d6d577d07dfd\days1-6\day3.js,1,generated by chatgpt,file,"[1,81]",,
IMSHelferchen\1eeb7bd1e620078019c67478c236b917d5604eeb\introductiontext.js,46,generated by chatgpt,no code,,,
little_lemon\cab7ce5c1234b44a3faab808485da88a01cd5911\src\components\Home\Article.js,10,generated by chatgpt,no code,,,
jimmcnulty41.github.io\3e2b8c0ce709f023a536d1bfdeef253cb64b86e0\sims\build\lib\utils.js,112,generated by chatgpt,method,"[114,133]",,
bc14_w2d2_workshop_rps-in-dom-cabbagepatch1981\af9605c64d32e2fe7cb137cb16d1392b63ace3aa\main.js,7,generated by chatgpt,file,"[1,70]",,
ChartTrends\8a8b1bba6cae77c70808496685a7f85012c74985\public\static\js\chart-setup.js,33,generated by chatgpt,no code,,,
IMSHelferchen\1eeb7bd1e620078019c67478c236b917d5604eeb\gradeCalculator.js,119,generated by chatgpt,no code,,,
IMSHelferchen\1eeb7bd1e620078019c67478c236b917d5604eeb\timetablescript.js,127,generated by chatgpt,no code,,,
dannyspina\394f5d98952c111a0efdd6e847a937266d15c154\scripts\blog_cli.cjs,5,generated by chatgpt,file,"[1,183]",,
